Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Chile,7941.0,10843.0,14699.0,16940.0,22806.0,29032.0,34374.0,25630.0,20819.0,20246.0,17360.0,18662.0,22010.0,25947.0,29889.0,33231.0,38249.0,46597.0,49855.0,57517.0,74119.0,78575.0,85730.0,81996.0,75596.0,78250.0,71517.0,70295.0,76508.0,99079.0,122315.0,153840.0,172565.0,179663.0,171794.0,217105.0,251225.0,267165.0,277218.0,259394.0,242515.0,249306.0,276357.0,295428.0,278040.0,254060.0,315411.0,301270.0,335627.0,330210.0,343823.0
China,160340.0,150854.0,171467.0,214160.0,263190.0,303550.0,289215.0,285139.0,306013.0,314832.0,310709.0,301471.0,328305.0,409363.0,458985.0,397359.0,415946.0,495515.0,621918.0,566297.0,737654.0,868770.0,967886.0,1035510.0,1101134.0,1220337.0,1351372.0,1486618.0,1680942.0,1978937.0,2325515.0,2797286.0,3612210.0,4653314.0,5176180.0,6138992.0,7624861.0,8682939.0,9782784.0,10701415.0,11307226.0,11448003.0,12503299.0,14110963.0,14572410.0,15103357.0,18190803.0,18307816.0,18270351.0,18748009.0,19231705.0
Colombia,18508.0,21674.0,27519.0,32864.0,39497.0,46501.0,50661.0,54252.0,53920.0,53257.0,48581.0,48648.0,50640.0,54592.0,55048.0,56071.0,57954.0,68579.0,77721.0,97665.0,110564.0,116130.0,127490.0,117725.0,103132.0,99270.0,97606.0,97353.0,94072.0,116382.0,145600.0,161793.0,206230.0,242504.0,232469.0,286499.0,334966.0,370692.0,382094.0,381241.0,293493.0,282720.0,311890.0,334124.0,323055.0,270348.0,318525.0,345632.0,366292.0,418542.0,427766.0
Comoros,60.0,59.0,65.0,85.0,113.0,243.0,213.0,202.0,196.0,189.0,192.0,258.0,313.0,336.0,329.0,402.0,401.0,437.0,428.0,315.0,393.0,392.0,363.0,364.0,372.0,340.0,373.0,427.0,547.0,622.0,656.0,689.0,796.0,916.0,904.0,909.0,1023.0,1016.0,1116.0,1150.0,966.0,1013.0,1077.0,1179.0,1188.0,1218.0,1273.0,1223.0,1335.0,1456.0,1548.0
Costa Rica,2492.0,3065.0,3904.0,4477.0,5127.0,4854.0,2636.0,2619.0,3162.0,3678.0,3941.0,4425.0,4554.0,4636.0,5250.0,5737.0,7197.0,8566.0,9586.0,10489.0,11578.0,11683.0,12618.0,13688.0,14259.0,15016.0,15979.0,16584.0,17277.0,18615.0,20049.0,22717.0,26885.0,30802.0,30746.0,37656.0,42762.0,47231.0,50949.0,52017.0,56442.0,58847.0,60517.0,62422.0,64412.0,62382.0,64954.0,69235.0,86509.0,95365.0,102591.0
Croatia,,,,,,,,,,,,,,,,,,568.0,7358.0,16669.0,20657.0,22104.0,22101.0,23971.0,23593.0,22145.0,23067.0,26739.0,35239.0,41820.0,45035.0,49593.0,59303.0,68469.0,62255.0,59032.0,62889.0,57585.0,59854.0,59628.0,51012.0,52640.0,56166.0,61694.0,61472.0,57919.0,69055.0,71260.0,84416.0,92506.0,98951.0
Cuba,13027.0,13790.0,14206.0,17845.0,19584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,728.0,842.0,1073.0,1404.0,1840.0,2314.0,2242.0,2319.0,2321.0,2447.0,2611.0,3317.0,3979.0,4589.0,4901.0,6003.0,6195.0,7424.0,7098.0,8004.0,9937.0,10016.0,9544.0,10251.0,10502.0,9988.0,10397.0,11422.0,14552.0,17328.0,18713.0,20422.0,24082.0,27955.0,26020.0,25821.0,27637.0,25063.0,23960.0,23232.0,19911.0,21041.0,22938.0,25766.0,26200.0,25535.0,30393.0,31001.0,33897.0,36156.0,38736.0
Czech Republic,,,,,,,,,,,,,,,,,,,,,60565.0,67805.0,62530.0,67161.0,65586.0,62171.0,68136.0,82596.0,100471.0,120148.0,137264.0,156236.0,189845.0,236820.0,207095.0,211169.0,231429.0,210363.0,213024.0,210911.0,189108.0,198161.0,221564.0,251992.0,256794.0,251110.0,290973.0,301831.0,343207.0,344931.0,360244.0
Czechoslovakia,27300.0,26914.0,38583.0,42501.0,45672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR Congo,6138.0,5786.0,7401.0,10507.0,10297.0,68606.0,59726.0,64939.0,52378.0,34951.0,31943.0,35840.0,33932.0,39314.0,40006.0,41448.0,40250.0,36333.0,47450.0,25746.0,25021.0,32099.0,28819.0,21089.0,19147.0,19077.0,7246.0,8720.0,9022.0,10275.0,12720.0,15403.0,18598.0,22665.0,18626.0,22340.0,26406.0,30074.0,34908.0,38355.0,40154.0,38086.0,39461.0,48037.0,50891.0,49613.0,55327.0,63324.0,64402.0,71011.0,79119.0
Denmark,39594.0,43676.0,48855.0,59296.0,69161.0,70811.0,61460.0,60084.0,60331.0,58869.0,62452.0,87749.0,109183.0,115540.0,112312.0,138219.0,139182.0,152966.0,143110.0,156019.0,184850.0,187482.0,173242.0,176876.0,177887.0,164043.0,164881.0,178788.0,218422.0,251988.0,265150.0,283387.0,320213.0,354977.0,322621.0,322346.0,344316.0,326793.0,344631.0,352833.0,301759.0,312182.0,331611.0,355293.0,345402.0,355631.0,408378.0,401946.0,407092.0,429458.0,449940.0
Djibouti,157.0,187.0,201.0,221.0,264.0,,,,,,,,,,,,650.0,672.0,655.0,691.0,699.0,694.0,706.0,722.0,759.0,781.0,811.0,837.0,882.0,936.0,996.0,1080.0,1191.0,1382.0,1426.0,1544.0,1740.0,1901.0,2044.0,2221.0,2424.0,2605.0,2763.0,2913.0,3089.0,3144.0,3393.0,3563.0,3917.0,4257.0,4587.0
Dominica,40.0,39.0,44.0,54.0,53.0,73.0,82.0,90.0,99.0,109.0,119.0,135.0,152.0,171.0,185.0,201.0,220.0,234.0,246.0,264.0,275.0,292.0,303.0,322.0,332.0,333.0,340.0,333.0,343.0,367.0,364.0,390.0,421.0,458.0,489.0,494.0,501.0,486.0,498.0,520.0,541.0,576.0,522.0,555.0,612.0,504.0,555.0,607.0,654.0,697.0,742.0
Dominican Republic,4439.0,4874.0,5658.0,5839.0,6782.0,8672.0,9698.0,9141.0,9461.0,14870.0,6496.0,7891.0,8305.0,7605.0,8589.0,7995.0,9887.0,11605.0,13081.0,14645.0,16637.0,18242.0,20017.0,21672.0,22137.0,24306.0,25602.0,27249.0,21518.0,22506.0,35948.0,37998.0,44067.0,48174.0,48281.0,53862.0,58006.0,60627.0,62631.0,67098.0,71056.0,75625.0,79153.0,85068.0,89237.0,78625.0,95067.0,113813.0,120794.0,124613.0,127828.0
Ecuador,4536.0,5596.0,7005.0,8056.0,9851.0,16116.0,16501.0,16474.0,14478.0,15408.0,18020.0,13222.0,12355.0,11749.0,11531.0,11710.0,13139.0,14367.0,16783.0,20238.0,21980.0,23001.0,25847.0,26292.0,18891.0,17531.0,23127.0,27054.0,30965.0,35195.0,40279.0,45691.0,49849.0,61139.0,60095.0,68151.0,78987.0,87735.0,96570.0,102718.0,97210.0,97671.0,104467.0,107479.0,107596.0,95865.0,107179.0,116133.0,121147.0,121728.0,125677.0
Egypt,12678.0,14974.0,19136.0,23432.0,15616.0,23523.0,25760.0,30479.0,37254.0,41888.0,48841.0,54076.0,77359.0,92530.0,115362.0,96087.0,48431.0,44168.0,49526.0,54550.0,63250.0,71118.0,79777.0,89189.0,95039.0,104752.0,102273.0,90261.0,85163.0,82855.0,94127.0,112902.0,137055.0,170797.0,198316.0,230024.0,247726.0,294482.0,303194.0,321634.0,350119.0,351443.0,246826.0,263156.0,317894.0,382525.0,423300.0,475231.0,393828.0,383109.0,347342.0
El Salvador,589.0,751.0,943.0,1012.0,1132.0,3912.0,3449.0,3406.0,3261.0,2385.0,2319.0,2335.0,2374.0,2771.0,3167.0,4818.0,5252.0,5813.0,6680.0,7679.0,8922.0,9586.0,10222.0,10937.0,11284.0,11785.0,12283.0,12664.0,13244.0,13725.0,14698.0,16000.0,17012.0,17987.0,17602.0,18448.0,20284.0,21386.0,21991.0,22593.0,23438.0,24191.0,24979.0,26021.0,26881.0,24921.0,29043.0,31989.0,34016.0,35337.0,36749.0
Equatorial Guinea,34.0,35.0,39.0,44.0,50.0,32.0,30.0,35.0,40.0,44.0,74.0,91.0,111.0,119.0,105.0,133.0,132.0,160.0,162.0,120.0,169.0,276.0,526.0,440.0,738.0,1159.0,1674.0,2070.0,3733.0,5935.0,8191.0,10096.0,13091.0,19828.0,15072.0,16328.0,21354.0,22403.0,21949.0,21771.0,13187.0,11238.0,12197.0,13309.0,11365.0,9908.0,12222.0,13717.0,12339.0,12544.0,12684.0
Eritrea,,,,,,,,,,,,,,,,,,606.0,374.0,433.0,483.0,579.0,594.0,626.0,614.0,547.0,582.0,564.0,673.0,858.0,850.0,937.0,1020.0,923.0,1297.0,1590.0,2065.0,2255.0,1958.0,2604.0,2016.0,2213.0,1904.0,2006.0,1982.0,1982.0,,,,,
Estonia,,,,,,,,,,,,,,,,,,,1791.0,2507.0,3909.0,4785.0,5160.0,5678.0,5771.0,5707.0,6265.0,7393.0,9894.0,12161.0,14129.0,17049.0,22478.0,24434.0,19694.0,19569.0,23300.0,23252.0,25451.0,27063.0,23314.0,24554.0,27460.0,31237.0,31877.0,31795.0,37229.0,38406.0,41303.0,42752.0,45004.0
Eswatini,329.0,309.0,346.0,387.0,469.0,754.0,798.0,714.0,734.0,628.0,497.0,635.0,831.0,986.0,1006.0,1237.0,1285.0,1425.0,1497.0,1621.0,1932.0,1830.0,1957.0,1797.0,1764.0,1739.0,1544.0,1436.0,2198.0,2774.0,3177.0,3293.0,3465.0,3298.0,3596.0,4438.0,4826.0,4887.0,4600.0,4426.0,4061.0,3815.0,4407.0,4667.0,4495.0,3984.0,4851.0,4791.0,4858.0,5199.0,5483.0
